Wavelength,Melanopic lux,Wavelength,CIE Scotopic 1951,Wavelength,CIE Photopic 1924,Wavelength,Photosynthesis,Wavelength,Cleve Moth Attraction,Wavelength,Bee Attraction,Wavelength,Green Turtle 92,Wavelength,Juvenile Salmon,Wavelength,Chelonia,Wavelength,Shearwater,Wavelength,Starry Light,Wavelength,Skyglow Rayleigh City Center,Wavelength,Skyglow Mie Remote,Wavelength,Loggerhead Hatchling Attraction,Wavelength,van Grunsven Insect Phototaxis
380,0.000876732,380,0.000589,360,0.000003917,400,0.5,250,0,250,0,380,0.783716153,350,0.318226377,350,0.554165013,350,0.551557517,350,0,350,0,350,0,350,0.602808417,280,0.090110974
385,0.00166579,381,0.000665,361,4.39358E-06,401,0.53,251,0,251,0,381,0.786936447,351,0.32914731,351,0.562285511,351,0.552831609,355,0,355,0,355,0,351,0.605201109,281,0.101779292
390,0.00306856,382,0.000752,362,4.9296E-06,402,0.55,252,0,252,0,382,0.790173615,352,0.340961776,352,0.570147419,352,0.553934325,360,0,360,0,360,0,352,0.607597562,282,0.11418598
395,0.005874101,383,0.000854,363,5.53214E-06,403,0.58,253,0,253,0,383,0.793428284,353,0.353237248,353,0.577795862,353,0.554868838,365,0,365,0,365,0,353,0.609997714,283,0.1272843
400,0.01139751,384,0.000972,364,6.20825E-06,404,0.6,254,0,254,0,384,0.796701086,354,0.365536215,354,0.585276507,354,0.555638367,370,0,370,0,370,0,354,0.612401506,284,0.14101917
405,0.02279502,385,0.001108,365,0.000006965,405,0.63,255,0,255,0,385,0.799992658,355,0.377416187,355,0.592635559,355,0.556246185,375,0,375,0,375,0,355,0.614808876,285,0.155328388
410,0.046116079,386,0.001268,366,7.81322E-06,406,0.65,256,0,256,0,386,0.803303645,356,0.388443647,356,0.599919763,356,0.556695619,380,0.000271644,380,0.000736203,380,0.000575082,356,0.617219762,286,0.170143984
415,0.079431878,387,0.001453,367,8.76734E-06,407,0.68,257,0,257,0,387,0.806634693,357,0.398282493,357,0.607176406,357,0.556990048,385,0.000534893,385,0.001383014,385,0.001093121,357,0.619634101,287,0.185393646
420,0.137208487,388,0.001668,368,9.83984E-06,408,0.7,258,0,258,0,388,0.809986459,358,0.406638414,358,0.614453313,358,0.557132901,390,0.001114036,390,0.002749697,390,0.002198721,358,0.622051829,288,0.201002173
425,0.187094512,389,0.001918,369,1.10432E-05,409,0.73,259,0,259,0,389,0.813359602,359,0.413214138,359,0.62178624,359,0.55712766,395,0.002872041,395,0.006771101,395,0.00547676,359,0.624472883,289,0.216892903
